#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PF19279              PF19279      158 CM000950_25          -            293   2.8e-61  202.1   1.0   1   1   3.4e-64     4e-61  201.6   1.0     1   157   136   292   136   293 0.99 YegS C-terminal NAD kinase beta sandwich-like domain
PF19934              PF19934      243 CM000950_134         -            249   2.2e-53  177.4   8.8   1   1   3.1e-56   3.7e-53  176.7   8.8    98   242     1   143     1   144 0.98 Family of unknown function (DUF6397)
PF19934              PF19934      243 CM000950_135         -            108   1.6e-39  132.0   3.2   1   1   1.5e-42   1.8e-39  131.9   3.2     1    94    15   108    15   108 0.99 Family of unknown function (DUF6397)
PF19300              PF19300      114 CM000950_158         -            321   3.4e-11   39.5   0.0   1   1   7.1e-14   8.4e-11   38.2   0.0     1    75     1    78     1   105 0.87 Binding-prot-dependent transport system membrane comp, N-term
PF19813              PF19813       75 CM000950_171         -             98   4.2e-34  112.5   1.9   1   1   4.2e-37     5e-34  112.3   1.9     1    73    24    95    24    97 0.97 Family of unknown function (DUF6296)
PF19328              PF19328      206 CM000950_202         -            359   3.2e-10   36.1   0.0   1   1   5.4e-13   6.4e-10   35.1   0.0     4   195   144   350   143   357 0.78 2,4-diaminopentanoate dehydrogenase C-terminal domain
PF19593              PF19593      141 CM000950_212         -            151   1.7e-61  202.2   2.1   1   1   1.7e-64     2e-61  202.0   2.1     3   140     5   141     3   142 0.97 Family of unknown function (DUF6098)
PF20028              PF20028      227 CM000950_278         -            197   1.6e-36  122.5  19.7   1   1   1.6e-39   1.9e-36  122.2  19.7    56   227     4   187     2   187 0.74 vWA-MoxR associated protein C-terminal domain
PF18970              PF18970       49 CM000950_333         -            167   1.3e-23   79.3   8.6   1   1   1.1e-26   1.3e-23   79.3   8.6     1    49   104   152   104   152 0.98 Family of unknown function (DUF5709)
PF19859              PF19859      234 CM000950_362         -            269   1.2e-95  315.6   2.2   1   1   1.2e-98   1.4e-95  315.4   2.2     1   233    29   264    29   265 0.98 Family of unknown function (DUF6333)
PF19291              PF19291      212 CM000950_371         -            608   2.7e-12   42.6   0.0   1   1   3.8e-15   4.5e-12   41.9   0.0    14   125    19   144    15   155 0.79 Domain of unknown function (DUF5911)
PF19733              PF19733       99 CM000950_529         -            128   3.4e-32  106.9  36.1   1   1   4.5e-35   5.3e-32  106.3  36.1     1    99    28   128    28   128 0.97 Family of unknown function (DUF6223)
PF18911              PF18911.1     82 CM000950_635         -           1028   5.2e-31  103.2  10.6   1   2   1.1e-18   1.4e-15   53.7   1.3     9    79   601   672   595   675 0.91 PKD domain
PF18911              PF18911.1     82 CM000950_635         -           1028   5.2e-31  103.2  10.6   2   2   5.8e-18   6.9e-15   51.5   0.4    23    82   953  1015   941  1015 0.86 PKD domain
PF19621              PF19621       40 CM000950_660         -             54   1.8e-20   68.2   0.6   1   1   1.8e-23   2.1e-20   68.0   0.6     3    40    16    53    14    53 0.95 Family of unknown function (DUF6126)
PF19365              PF19365      328 CM000950_676         -            638  7.1e-153  505.0  37.0   1   2   4.5e-82   5.3e-79  262.2   8.5     1   133   249   381   249   395 0.98 Family of unknown function (DUF5941)
PF19365              PF19365      328 CM000950_676         -            638  7.1e-153  505.0  37.0   2   2   5.9e-80     7e-77  255.3  13.0   169   328   481   638   469   638 0.97 Family of unknown function (DUF5941)
PF19300              PF19300      114 CM000950_697         -            317   6.3e-16   54.8   0.0   1   1   2.5e-17     3e-14   49.4   0.0     1   113     1   103     1   104 0.90 Binding-prot-dependent transport system membrane comp, N-term
PF19054              PF19054      180 CM000950_781         -            286   1.3e-59  197.1   0.4   1   1   1.5e-62   1.8e-59  196.5   0.4     2   179   101   280   100   281 0.96 Domain of unknown function (DUF5753)
PF19361              PF19361      268 CM000950_790         -            332   3.8e-11   38.8   0.0   1   1   9.9e-12   1.2e-08   30.6   0.0   127   265   102   243    84   246 0.79 Family of unknown function (DUF5937)
PF19862              PF19862      128 CM000950_867         -            192   4.4e-35  117.0   7.2   1   1   5.1e-38   6.1e-35  116.5   7.2    14   109     2    97     1   102 0.98 Family of unknown function (DUF6336)
